V1	V2	V3	V4
JJ0030	DFDC-14	29466	0.0850641417226634
JJ0030	DFDC-19	29439	0.0850912055436666
JJ0030	Q-14	22637	0.078742766267615
JJ0030	Q-19	19974	0.0766246119955943
JJ0030	Q-20	10729	0.0707428464908193
JJ0030	Q-30	25482	0.0819401930774664
JJ0030	Q-6	26164	0.0795749885338633
JJ0030	H-22	654	0.0504587155963303
JJ0030	H-25	908	0.0611233480176211
JJ0030	H-26	688	0.0566860465116279
JJ0030	HDC-3	810	0.0555555555555556
JJ0030	HDC-4	802	0.0610972568578554
JJ0030	HM2	3681	0.168432491170877
JJ0030	HM3	4509	0.174650698602794
JJ0030	HM4	3909	0.18252750063955
JJ0030	HM5	7432	0.185212594187298
JJ0030	HM6	7581	0.182297849887878
JJC44	108	27686	0.0820089575958968
JJC44	JJ-109	28280	0.0841584158415842
JJC44	JJ-35	25655	0.0800038978756578
JJC44	JJ-71	31695	0.0857864016406373
JJC44	JJ-92	14036	0.0723140495867769
JJC44	JJ-103	36832	0.0966686576889661
JJC44	JJ-52	37706	0.0962844109690765
JJC44	JJ-97	37952	0.0970436340640809
JJC44	JJC-73	34688	0.09200588099631
JJC44	117	7784	0.0605087358684481
JJC44	LCG09-2	6451	0.059215625484421
JJC44	LCG09-3	6623	0.0605465800996527
JJC44	LCG09-4	6390	0.0583724569640063
JJC44	LCG09-5	6306	0.0631937836980653
JJC44	XH-13	24011	0.0781308566906834
JJC44	XHDC-2	25857	0.0781219785744673
JJC44	XHDC-5	12288	0.0729573567708333
JJC44	XHDC-6	20019	0.076702132973675
JJC44	XHDC-7	22978	0.0763338845852555
JJC44	FQ-10	9893	0.0658546446982715
JJC44	FQ-14	6566	0.0710478221139202
JJC44	FQ-26	14225	0.0682952548330404
JJC44	FQ-27	12906	0.066403223306989
JJC44	FQ-6	12299	0.0694771932677453
JJC44	26	23955	0.0796702149864329
JJC44	27	23213	0.079136690647482
JJC44	28	30369	0.0826829991109355
JJC44	31	31836	0.0855792184947858
JJC44	CX-29	28148	0.0822793804177917
JJC44	DF-5	12182	0.0744951567887047
JJC44	DFDC-11	31159	0.08501556532623
JJC44	DFDC-13	26453	0.0812384228631913
JJC44	DFDC-14	29520	0.0842479674796748
JJC44	DFDC-19	29488	0.084814161692892
JJC44	Q-14	22690	0.0791978845306302
JJC44	Q-19	20026	0.0763757115749526
JJC44	Q-20	10749	0.0693552888640804
JJC44	Q-30	25532	0.0795472348425505
JJC44	Q-6	26222	0.0799138128289223
JJC44	H-22	650	0.0453846153846154
JJC44	H-25	907	0.0656008820286659
JJC44	H-26	684	0.0592105263157895
JJC44	HDC-3	806	0.0576923076923077
JJC44	HDC-4	800	0.05875
JJC44	HM2	3682	0.171510048886475
JJC44	HM3	4518	0.181385568835768
JJC44	HM4	3911	0.187420097161851
JJC44	HM5	7440	0.188373655913979
JJC44	HM6	7586	0.18586870551015
108	JJ-109	33309	0.0957849229937855
108	JJ-35	29091	0.0880856622323055
108	JJ-71	38756	0.101558468366188
108	JJ-92	15115	0.0786635792259345
108	JJ-103	36453	0.0927770005212191
108	JJ-52	37325	0.0939584728734092
108	JJ-97	37518	0.0950610373687297
108	JJC-73	34318	0.0918031353808497
108	117	7774	0.0616156418832004
108	LCG09-2	6386	0.057077983088005
108	LCG09-3	6556	0.0631482611348383
108	LCG09-4	6339	0.0612083924909292
108	LCG09-5	6241	0.0617689472840891
108	XH-13	23876	0.0761015245434746
108	XHDC-2	25786	0.0780850073683394
108	XHDC-5	12284	0.0722484532725497
108	XHDC-6	20021	0.0749712801558364
108	XHDC-7	22942	0.0752331967570395
108	FQ-10	9779	0.0664178341343696
108	FQ-14	6490	0.0657935285053929
108	FQ-26	14137	0.0678361745773502
108	FQ-27	12864	0.0672030472636816
108	FQ-6	12237	0.0690937321238866
108	26	24668	0.0809753526836387
108	27	23841	0.0773247766452749
108	28	30993	0.0843900235537057
108	31	32321	0.0861204789455772
108	CX-29	28416	0.0826998873873874
108	DF-5	12052	0.0725605708596084
108	DFDC-11	30948	0.084496574899832
108	DFDC-13	26136	0.07979415365779
108	DFDC-14	29471	0.0812154321197109
108	DFDC-19	29293	0.0840132454852695
108	Q-14	22745	0.0772257639041548
108	Q-19	20019	0.0745291972626005
108	Q-20	10778	0.0694470217108926
108	Q-30	25499	0.0778265814345661
108	Q-6	26253	0.07936235858759
108	H-22	635	0.0488188976377953
108	H-25	902	0.0554323725055432
108	H-26	674	0.0541543026706231
108	HDC-3	789	0.0538656527249683
108	HDC-4	790	0.0518987341772152
108	HM2	3668	0.169302071973828
108	HM3	4620	0.179761904761905
108	HM4	3949	0.185110154469486
108	HM5	7529	0.186279718422101
108	HM6	7673	0.185716147530301
JJ-109	JJ-35	30510	0.0926417568010488
JJ-109	JJ-71	40269	0.103590851523504
JJ-109	JJ-92	15602	0.0788680938341238
JJ-109	JJ-103	37699	0.0933181251492082
JJ-109	JJ-52	38720	0.0958806818181818
JJ-109	JJ-97	38863	0.0965957337313126
JJ-109	JJC-73	35448	0.0927696908147145
JJ-109	117	7902	0.0606808402935966
JJ-109	LCG09-2	6516	0.0567065684468999
JJ-109	LCG09-3	6699	0.0602328705776982
JJ-109	LCG09-4	6463	0.060575584094074
JJ-109	LCG09-5	6389	0.0621380497730474
JJ-109	XH-13	24782	0.0774957630538294
JJ-109	XHDC-2	26762	0.0763769523951872
JJ-109	XHDC-5	12768	0.0722509398496241
JJ-109	XHDC-6	20770	0.0747713047664901
JJ-109	XHDC-7	23746	0.0774446222521688
JJ-109	FQ-10	10027	0.0656228183903461
JJ-109	FQ-14	6682	0.0686920083807243
JJ-109	FQ-26	14571	0.07041383570105
JJ-109	FQ-27	13261	0.0681698212804464
JJ-109	FQ-6	12601	0.0707880326958178
JJ-109	26	25104	0.0800071701720841
JJ-109	27	24159	0.0788526015149634
JJ-109	28	31661	0.0848046492530242
JJ-109	31	33123	0.0873713129849349
JJ-109	CX-29	29051	0.0821658462703521
JJ-109	DF-5	12324	0.0720950989938332
JJ-109	DFDC-11	31860	0.086142498430634
JJ-109	DFDC-13	26856	0.0815646410485553
JJ-109	DFDC-14	30323	0.0834515054579032
JJ-109	DFDC-19	29991	0.084642059284452
JJ-109	Q-14	23444	0.0777810953762157
JJ-109	Q-19	20579	0.0768258904708684
JJ-109	Q-20	11135	0.0719802424786709
JJ-109	Q-30	26307	0.0804918842893526
JJ-109	Q-6	27066	0.0808948496268381
JJ-109	H-22	638	0.0470219435736677
JJ-109	H-25	904	0.0525442477876106
JJ-109	H-26	681	0.0499265785609398
JJ-109	HDC-3	798	0.0551378446115288
JJ-109	HDC-4	799	0.0531914893617021
JJ-109	HM2	3761	0.168572188247806
JJ-109	HM3	4677	0.176502031216592
JJ-109	HM4	3979	0.180447348580045
JJ-109	HM5	7632	0.183438155136268
JJ-109	HM6	7774	0.182145613583741
JJ-35	JJ-71	35852	0.0972330692848377
JJ-35	JJ-92	15140	0.0770805812417437
JJ-35	JJ-103	33792	0.0907463304924242
JJ-35	JJ-52	34603	0.0912348640291304
JJ-35	JJ-97	34742	0.092021184733176
JJ-35	JJC-73	31932	0.0858699736941
JJ-35	117	7846	0.0604129492735152
JJ-35	LCG09-2	6502	0.0605967394647801
JJ-35	LCG09-3	6696	0.0585424133811231
